country_code,region_name,iata,icao,airport,latitude,longitude
CY,Lemesos,AKT,LCRA,RAF Akrotiri,34.5904,32.9879
CY,Pafos,PFO,LCPH,Paphos International Airport,34.718,32.4857
CZ,Jihocesky kraj,JCL,LKCS,Ceske Budejovice Airport (Plana Airport),48.9464,14.4275
CZ,Jihomoravsky kraj,BRQ,LKTB,Brno-Turany Airport,49.1513,16.6944
CZ,Karlovarsky kraj,KLV,LKKV,Karlovy Vary Airport,50.203,12.915
CZ,Karlovarsky kraj,MKA,LKMR,Marianske Lazne Airport,49.9228,12.7247
CZ,Moravskoslezsky kraj,OSR,LKMT,Leos Janacek Airport,49.6963,18.1111
CZ,Moravskoslezsky kraj,ZBE,LKZA,Zabreh Airport,49.9283,18.0783
CZ,Olomoucky kraj,OLO,LKOL,Olomouc Airport (Neredin Airport),49.5878,17.2108
CZ,Olomoucky kraj,PRV,LKPO,Prerov Airport,49.4258,17.4047
CZ,Pardubicky kraj,PED,LKPD,Pardubice Airport,50.0134,15.7386
CZ,Stredocesky kraj,PRG,LKPR,Vaclav Havel Airport Prague,50.1008,14.26
CZ,Stredocesky kraj,VOD,LKVO,Vodochody Airport,50.2166,14.3958
CZ,Zlinsky kraj,GTW,LKHO,Holesov Airport,49.3144,17.5689
CZ,Zlinsky kraj,UHE,LKKU,Kunovice Airport,49.0294,17.4397
DE,Baden-Wurttemberg,FDH,EDNY,Friedrichshafen Airport (Bodensee Airport),47.6713,9.51149
DE,Baden-Wurttemberg,FKB,EDSB,Karlsruhe/Baden-Baden Airport,48.7794,8.0805
DE,Baden-Wurttemberg,HDB,ETIE,Heidelberg Airport,49.3924,8.65193
DE,Baden-Wurttemberg,LHA,EDTL,Flughafen Lahr (Lahr Airport),48.3693,7.82772
DE,Baden-Wurttemberg,MHG,EDFM,Mannheim City Airport,49.4731,8.51417
DE,Baden-Wurttemberg,STR,EDDS,Stuttgart Airport,48.6899,9.22196
DE,Bayern,AGB,EDMA,Augsburg Airport,48.4253,10.9317
DE,Bayern,BYU,EDQD,Bindlacher Berg Airport,49.985,11.64
DE,Bayern,FEL,ETSF,Furstenfeldbruck Air Base,48.2056,11.2669
DE,Bayern,FMM,EDJA,Memmingen Airport,47.9888,10.2395
DE,Bayern,GHF,EDQG,Giebelstadt Airport,49.6481,9.96639
DE,Bayern,HOQ,EDQM,Hof-Plauen Airport,50.2886,11.8564
DE,Bayern,IGS,ETSI,Ingolstadt Manching Airport,48.7157,11.534
DE,Bayern,ILH,ETIK,Illesheim Army Airfield,49.4739,10.3881
DE,Bayern,KZG,ETIN,Kitzingen Airport,49.7431,10.2006
DE,Bayern,MUC,EDDM,Munich Airport,48.3538,11.7861
DE,Bayern,NUE,EDDN,Nuremberg Airport,49.4987,11.0781
DE,Bayern,OBF,EDMO,Oberpfaffenhofen Airport,48.0814,11.2831
DE,Bayern,RBM,EDMS,Straubing Wallmuhle Airport,48.9008,12.5167
DE,Bayern,URD,EDQE,Burg Feuerstein Airport,49.7942,11.1336
DE,Berlin,TXL,EDDT,Berlin Tegel Airport,52.5597,13.2877
DE,Brandenburg,BER,EDDB,Berlin Brandenburg Airport,52.3514,13.4939
DE,Brandenburg,CBU,EDCD,Cottbus-Drewitz Airport,51.8894,14.5319
DE,Bremen,BRE,EDDW,Bremen Airport,53.0475,8.78667
DE,Bremen,BRV,EDWB,Bremerhaven Airport,53.5069,8.57278
DE,Hamburg,HAM,EDDH,Hamburg Airport,53.6304,9.98823
DE,Hamburg,XFW,EDHI,Hamburg Finkenwerder Airport,53.5353,9.83556
DE,Hessen,FRA,EDDF,Frankfurt Airport,50.0333,8.57056
DE,Hessen,FRZ,ETHF,Fritzlar Air Base,51.1146,9.286
DE,Hessen,KSF,EDVK,Kassel Airport,51.4173,9.38497
DE,Hessen,WIE,ETOU,Wiesbaden Army Airfield,50.0498,8.3254
DE,Mecklenburg-Vorpommern,BBH,EDBH,Stralsund-Barth Airport,54.3383,12.7105
DE,Mecklenburg-Vorpommern,FNB,EDBN,Neubrandenburg Airport,53.6022,13.306
DE,Mecklenburg-Vorpommern,GTI,EDCG,Rugen Airport (Guttin Airfield),54.3833,13.3256
DE,Mecklenburg-Vorpommern,HDF,EDAH,Heringsdorf Airport,53.8787,14.1523
DE,Mecklenburg-Vorpommern,PEF,EDCP,Peenemunde Airfield,54.1578,13.7744
DE,Mecklenburg-Vorpommern,REB,EDAX,Rechlin-Larz Airfield,53.3064,12.7522
DE,Mecklenburg-Vorpommern,RLG,ETNL,Rostock-Laage Airport,53.9182,12.2783
DE,Mecklenburg-Vorpommern,SZW,EDOP,Schwerin-Parchim International Airport,53.427,11.7834
DE,Niedersachsen,AGE,EDWG,Wangerooge Airport,53.7828,7.91389
DE,Niedersachsen,BMK,EDWR,Borkum Airfield,53.5964,6.70917
DE,Niedersachsen,BMR,EDWZ,Baltrum Airport,53.7247,7.37333
DE,Niedersachsen,BWE,EDVE,Braunschweig-Wolfsburg Airport,52.3192,10.5561
DE,Niedersachsen,EME,EDWE,Emden Airport,53.3911,7.2275
DE,Niedersachsen,FCN,ETMN,Nordholz Naval Airbase,53.7677,8.6585
DE,Niedersachsen,HAJ,EDDV,Hannover Airport,52.4611,9.68508
DE,Niedersachsen,JUI,EDWJ,Juist Airport,53.6811,7.05583
DE,Niedersachsen,LGO,EDWL,Langeoog Airport,53.7425,7.49778
DE,Niedersachsen,NOD,EDWS,Norddeich Airport,53.6331,7.19028
DE,Niedersachsen,NRD,EDWY,Norderney Airport,53.7069,7.23
DE,Niedersachsen,VAC,EDWU,Varrelbusch Airport,52.9083,8.04056
DE,Niedersachsen,WVN,EDWI,JadeWeserAirport,53.5022,8.05222
DE,Niedersachsen,XLW,EDWD,Lemwerder Airport,53.1447,8.62444
DE,Nordrhein-Westfalen,AAH,EDKA,Merzbruck Airport,50.8231,6.18639
DE,Nordrhein-Westfalen,BFE,EDLI,Bielefeld Airport,51.9647,8.54444
DE,Nordrhein-Westfalen,CGN,EDDK,Cologne Bonn Airport,50.8659,7.14274
DE,Nordrhein-Westfalen,DTM,EDLW,Dortmund Airport,51.5183,7.61224
DE,Nordrhein-Westfalen,DUS,EDDL,Dusseldorf Airport,51.2895,6.76678
DE,Nordrhein-Westfalen,ESS,EDLE,Essen/Mulheim Airport,51.4023,6.93733
DE,Nordrhein-Westfalen,FMO,EDDG,Munster Osnabruck International Airport,52.1346,7.68483
DE,Nordrhein-Westfalen,GKE,ETNG,NATO Air Base Geilenkirchen,50.9608,6.04242
DE,Nordrhein-Westfalen,GUT,ETUO,RAF Gutersloh,51.9228,8.30633
DE,Nordrhein-Westfalen,MGL,EDLN,Dusseldorf Monchengladbach Airport,51.2303,6.50444
DE,Nordrhein-Westfalen,NRN,EDLV,Weeze Airport (Niederrhein Airport),51.6024,6.14217
DE,Nordrhein-Westfalen,PAD,EDLP,Paderborn Lippstadt Airport,51.6141,8.61632
DE,Nordrhein-Westfalen,SGE,EDGS,Siegerland Airport,50.7077,8.08297
DE,Rheinland-Pfalz,BBJ,EDRB,Bitburg Airport ,49.9453,6.565
DE,Rheinland-Pfalz,HHN,EDFH,Frankfurt-Hahn Airport,49.9487,7.26389
DE,Rheinland-Pfalz,RMS,ETAR,Ramstein Air Base,49.4369,7.60028
DE,Rheinland-Pfalz,SPM,ETAD,Spangdahlem Air Base,49.9727,6.6925
DE,Rheinland-Pfalz,ZQW,EDRZ,Zweibrucken Airport,49.2094,7.40056
DE,Saarland,SCN,EDDR,Saarbrucken Airport,49.2146,7.10951
DE,Sachsen,DRS,EDDC,Dresden Airport,51.1328,13.7672
DE,Sachsen,IES,EDAU,Riesa-Gohlis Airfield,51.2936,13.3561
DE,Sachsen,LEJ,EDDP,Leipzig/Halle Airport,51.4239,12.2364
DE,Sachsen-Anhalt,CSO,EDBC,Magdeburg-Cochstedt Airport,51.8564,11.4203
DE,Sachsen-Anhalt,KOQ,EDCK,Kothen Airport,51.7211,11.9528
DE,Sachsen-Anhalt,ZHZ,EDAQ,Halle-Oppin Airport,51.5527,12.054
DE,Schleswig-Holstein,EUM,EDHN,Neumunster Airport,54.0794,9.94139
DE,Schleswig-Holstein,FLF,EDXF,Flensburg-Schaferhaus Airport,54.7733,9.37889
DE,Schleswig-Holstein,GWT,EDXW,Sylt Airport (Westerland Airport),54.9132,8.34047
DE,Schleswig-Holstein,HEI,EDXB,Heide-Busum Airport,54.1533,8.90167
DE,Schleswig-Holstein,HGL,EDXH,Helgoland Airport (Dune Airport),54.1853,7.91583
DE,Schleswig-Holstein,KEL,EDHK,Kiel Airport,54.3794,10.1453
DE,Schleswig-Holstein,LBC,EDHL,Lubeck Airport,53.8054,10.7192
DE,Schleswig-Holstein,OHR,EDXY,Wyk auf Fohr Airport,54.6844,8.52833
DE,Schleswig-Holstein,PSH,EDXO,Sankt Peter-Ording Airport,54.3089,8.68694
DE,Schleswig-Holstein,QHU,EDXJ,Husum Schwesing Airport,54.51,9.13833
DE,Schleswig-Holstein,WBG,ETNS,Schleswig Air Base,54.4593,9.51633
DE,Thuringen,AOC,EDAC,Leipzig-Altenburg Airport,50.9819,12.5064
DE,Thuringen,EIB,EDGE,Eisenach-Kindel Airport,50.9916,10.4797
DE,Thuringen,ERF,EDDE,Erfurt-Weimar Airport,50.9798,10.9581
DK,Hovedstaden,CPH,EKCH,Copenhagen Airport,55.6179,12.656
DK,Hovedstaden,RNN,EKRN,Bornholm Airport,55.0633,14.7596
DK,Midtjylland,AAR,EKAH,Aarhus Airport,56.3,10.619
DK,Midtjylland,KRP,EKKA,Karup Airport,56.2975,9.12463
DK,Midtjylland,SQW,EKSV,Skive Airport,56.5502,9.17298
DK,Midtjylland,STA,EKVJ,Stauning Vestjylland Airport,55.9901,8.35391
DK,Nordjylland,AAL,EKYT,Aalborg Airport,57.0928,9.84924
DK,Nordjylland,BYR,EKLS,Laesoe Airport,57.2772,11.0001
DK,Nordjylland,CNL,EKSN,Sindal Airport,57.5035,10.2294
DK,Nordjylland,TED,EKTS,Thisted Airport,57.0688,8.70522
DK,Sjaelland,MRW,EKMB,Lolland Falster Airport,54.6993,11.4401
DK,Sjaelland,RKE,EKRK,Roskilde Airport,55.5856,12.1314
DK,Syddanmark,BLL,EKBI,Billund Airport,55.7403,9.15178
DK,Syddanmark,EBJ,EKEB,Esbjerg Airport,55.5259,8.5534
DK,Syddanmark,ODE,EKOD,Hans Christian Andersen Airport,55.4767,10.3309
DK,Syddanmark,SGD,EKSB,Sonderborg Airport,54.9644,9.79173
DK,Syddanmark,SKS,EKSP,Vojens Airport (Skrydstrup Airport),55.221,9.26702
EE,Harjumaa,TLL,EETN,Tallinn Airport (Lennart Meri Tallinn Airport),59.4133,24.8328
EE,Hiiumaa,KDL,EEKA,Kardla Airport,58.9908,22.8307
EE,Parnumaa,EPU,EEPU,Parnu Airport,58.419,24.4728
EE,Saaremaa,URE,EEKE,Kuressaare Airport,58.2299,22.5095
EE,Tartumaa,TAY,EETU,Tartu Airport,58.3075,26.6904
ES,Andalucia,AGP,LEMG,Malaga Airport,36.6749,-4.49911
ES,Andalucia,GRX,LEGR,Federico Garcia Lorca Airport (Granada Jaen Airport),37.1887,-3.77736
ES,Andalucia,LEI,LEAM,Almeria Airport,36.8439,-2.3701
ES,Andalucia,ODB,LEBA,Cordoba Airport,37.842,-4.84888
ES,Andalucia,OZP,LEMO,Moron Air Base,37.1749,-5.61594
ES,Andalucia,ROZ,LERT,Naval Station Rota,36.6452,-6.34946
ES,Andalucia,SVQ,LEZL,Seville Airport,37.418,-5.89311
ES,Andalucia,XRY,LEJR,Jerez Airport (La Parra Airport),36.7446,-6.06011
ES,Aragon,HSK,LEHC,Huesca-Pirineos Airport,42.0761,-0.316667
ES,Aragon,TEV,LETL,Teruel Airport,40.403,-1.2183
ES,Aragon,ZAZ,LEZG,Zaragoza Airport,41.6662,-1.04155
ES,"Asturias, Principado de",OVD,LEAS,Asturias Airport (Oviedo Airport),43.5636,-6.03462
ES,Canarias,ACE,GCRR,Lanzarote Airport,28.9455,-13.6052
ES,Canarias,FUE,GCFV,Fuerteventura Airport,28.4527,-13.8638
ES,Canarias,GMZ,GCGM,La Gomera Airport,28.0296,-17.2146
ES,Canarias,LPA,GCLP,Gran Canaria Airport,27.9319,-15.3866
ES,Canarias,SPC,GCLA,La Palma Airport,28.6265,-17.7556
ES,Canarias,VDE,GCHI,El Hierro Airport,27.8148,-17.8871
ES,Cantabria,SDR,LEXJ,Santander Airport,43.4271,-3.82001
ES,Castilla y Leon,CQM,LERL,Ciudad Real Central Airport,38.8564,-3.97
ES,Castilla y Leon,LEN,LELN,Leon Airport,42.589,-5.65556
ES,Castilla y Leon,RGS,LEBG,Burgos Airport,42.3576,-3.62076
ES,Castilla y Leon,SLM,LESA,Salamanca Airport,40.9521,-5.50199
ES,Castilla y Leon,VLL,LEVD,Valladolid Airport,41.7061,-4.85194
ES,Castilla-La Mancha,ABC,LEAB,Albacete Airport,38.9485,-1.86352
ES,Catalunya,BCN,LEBL,Barcelona El Prat Airport,41.2971,2.07846
ES,Catalunya,GRO,LEGE,Girona-Costa Brava Airport,41.901,2.76055
ES,Catalunya,ILD,LEDA,Lleida-Alguaire Airport,41.7282,0.535023
ES,Catalunya,LEU,LESU,Andorra–La Seu d'Urgell Airport,42.3386,1.40917
ES,Catalunya,REU,LERS,Reus Airport,41.1474,1.16717
ES,Extremadura,BJZ,LEBZ,Badajoz Airport (Talavera la Real Air Base),38.8913,-6.82133
ES,Galicia,LCG,LECO,A Coruna Airport,43.3021,-8.37726
ES,Galicia,SCQ,LEST,Santiago de Compostela Airport,42.8963,-8.41514
ES,Galicia,VGO,LEVX,Vigo-Peinador Airport,42.2318,-8.62677
ES,Illes Balears,IBZ,LEIB,Ibiza Airport,38.8729,1.37312
ES,Illes Balears,MAH,LEMH,Menorca Airport (Mahon Airport),39.8626,4.21865
ES,Illes Balears,PMI,LEPA,Palma de Mallorca Airport,39.5517,2.73881
ES,La Rioja,RJL,LELO,Logrono-Agoncilo,42.461,-2.32224
ES,"Madrid, Comunidad de",MAD,LEMD,Adolfo Suarez Madrid-Barajas Airport,40.4719,-3.56264
ES,"Madrid, Comunidad de",TOJ,LETO,Madrid-Torrejon Airport,40.4967,-3.44587
ES,Melilla,MLN,GEML,Melilla Airport,35.2798,-2.95626
ES,"Murcia, Region de",MJV,LELC,Murcia-San Javier Airport,37.775,-0.812389
ES,"Murcia, Region de",RMU,LEMI,Region de Murcia International Airport,37.803,-1.125
ES,"Navarra, Comunidad Foral de",PNA,LEPP,Pamplona Airport,42.77,-1.64633
ES,Pais Vasco,BIO,LEBB,Bilbao Airport,43.3011,-2.91061
ES,Pais Vasco,EAS,LESO,San Sebastian Airport,43.3565,-1.79061
ES,Pais Vasco,VIT,LEVT,Vitoria Airport,42.8828,-2.72447
ES,"Valenciana, Comunidad",ALC,LEAL,Alicante-Elche Airport,38.2822,-0.558156
ES,"Valenciana, Comunidad",CDT,LECH,Castellon-Costa Azahar Airport,40.2139,0.073333
ES,"Valenciana, Comunidad",VLC,LEVC,Valencia Airport,39.4893,-0.481625
FI,Etela-Karjala,LPP,EFLP,Lappeenranta Airport,61.0446,28.1447
FI,Etela-Pohjanmaa,KAU,EFKA,Kauhava Airfield,63.1271,23.0514
FI,Etela-Pohjanmaa,KHJ,EFKJ,Kauhajoki Airfield,62.4625,22.3931
FI,Etela-Pohjanmaa,SJY,EFSI,Seinajoki Airport,62.6921,22.8323
FI,Etela-Savo,MIK,EFMI,Mikkeli Airport,61.6866,27.2018
FI,Etela-Savo,SVL,EFSA,Savonlinna Airport,61.9431,28.9451
FI,Etela-Savo,VRK,EFVR,Varkaus Airport,62.1711,27.8686
FI,Kainuu,KAJ,EFKI,Kajaani Airport,64.2855,27.6924
FI,Keski-Suomi,JYV,EFJY,Jyvaskyla Airport,62.3995,25.6783
FI,Keski-Suomi,KEV,EFHA,Halli Airport,61.856,24.7867
FI,Kymenlaakso,UTI,EFUT,Utti Airport,60.8964,26.9384
FI,Lappi,ENF,EFET,Enontekio Airport,68.3626,23.4243
FI,Lappi,IVL,EFIV,Ivalo Airport,68.6073,27.4053
FI,Lappi,KEM,EFKE,Kemi-Tornio Airport,65.7787,24.5821
FI,Lappi,KTT,EFKT,Kittila Airport,67.701,24.8468
FI,Lappi,RVN,EFRO,Rovaniemi Airport,66.5648,25.8304
FI,Lappi,SOT,EFSO,Sodankyla Airfield,67.395,26.6191
FI,Pirkanmaa,TMP,EFTP,Tampere-Pirkkala Airport,61.4141,23.6044
FI,Pohjanmaa,KOK,EFKK,Kokkola-Pietarsaari Airport,63.7212,23.1431
FI,Pohjanmaa,VAA,EFVA,Vaasa Airport,63.0507,21.7622
FI,Pohjois-Karjala,JOE,EFJO,Joensuu Airport,62.6629,29.6075
FI,Pohjois-Karjala,KTQ,EFIT,Kitee Airfield,62.1661,30.0736
FI,Pohjois-Pohjanmaa,KAO,EFKS,Kuusamo Airport,65.9876,29.2394
FI,Pohjois-Pohjanmaa,OUL,EFOU,Oulu Airport,64.9301,25.3546
FI,Pohjois-Pohjanmaa,YLI,EFYL,Ylivieska Airfield,64.0547,24.7253
FI,Pohjois-Savo,KUO,EFKU,Kuopio Airport,63.0071,27.7978
FI,Satakunta,POR,EFPO,Pori Airport,61.4617,21.8
FI,Uusimaa,HEL,EFHK,Helsinki Airport (Helsinki-Vantaa Airport),60.3172,24.9633
FI,Uusimaa,HEM,EFHF,Helsinki-Malmi Airport,60.2546,25.0428
FI,Uusimaa,HYV,EFHV,Hyvink- Airfield,60.6544,24.8811
FI,Varsinais-Suomi,MHQ,EFMA,Mariehamn Airport,60.1222,19.8982
FI,Varsinais-Suomi,TKU,EFTU,Turku Airport,60.5141,22.2628
FR,Auvergne-Rhone-Alpes,AHZ,LFHU,Alpe d'Huez Airport,45.0883,6.08472
FR,Auvergne-Rhone-Alpes,AUR,LFLW,Aurillac - Tronquieres Airport,44.8914,2.42194
FR,Auvergne-Rhone-Alpes,CFE,LFLC,Clermont-Ferrand Auvergne Airport,45.7867,3.16917
FR,Auvergne-Rhone-Alpes,CMF,LFLB,Chambery-Savoie Airport,45.6381,5.88023
FR,Auvergne-Rhone-Alpes,CVF,LFLJ,Courchevel Altiport,45.3967,6.63472
FR,Auvergne-Rhone-Alpes,EBU,LFMH,Saint-Etienne-Boutheon Airport,45.5406,4.29639
FR,Auvergne-Rhone-Alpes,GNB,LFLS,Grenoble-Isere Airport,45.3629,5.32937
FR,Auvergne-Rhone-Alpes,LPY,LFHP,Le Puy - Loudes Airport,45.0807,3.76289
FR,Auvergne-Rhone-Alpes,LYN,LFLY,Lyon-Bron Airport,45.7272,4.94427
FR,Auvergne-Rhone-Alpes,LYS,LFLL,Lyon-Saint-Exupery Airport,45.7256,5.08111
FR,Auvergne-Rhone-Alpes,MCU,LFBK,Montlucon - Gueret Airport,46.2226,2.36396
FR,Auvergne-Rhone-Alpes,MFX,LFKX,Meribel Altiport,45.407,6.57794
FR,Auvergne-Rhone-Alpes,MVV,LFHM,Megeve Altiport,45.8208,6.65222
FR,Auvergne-Rhone-Alpes,NCY,LFLP,Annecy - Haute-Savoie - Mont Blanc Airport,45.9308,6.10639
FR,Auvergne-Rhone-Alpes,OBS,LFHO,Aubenas Aerodrome (Arddecheche Meridionale Aerodrom),44.5442,4.37219
FR,Auvergne-Rhone-Alpes,RNE,LFLO,Roanne Renaison Airport,46.0583,4.00139
FR,Auvergne-Rhone-Alpes,VAF,LFLU,Valence-Chabeuil Airport,44.9216,4.9699
FR,Auvergne-Rhone-Alpes,VHY,LFLV,Vichy - Charmeil Airport,46.1697,3.40374
FR,Auvergne-Rhone-Alpes,XBK,LFHS,Bourg – Ceyzériat Airport,46.2056,5.29167
FR,Auvergne-Rhone-Alpes,XMU,LFHY,Moulins – Montbeugny Airport,46.5344,3.42167
FR,Bourgogne-Franche-Comte,AUF,LFLA,Auxerre - Branches Aerodrome,47.8502,3.49711
FR,Bourgogne-Franche-Comte,DIJ,LFSD,Dijon Air Base,47.2689,5.09
FR,Bourgogne-Franche-Comte,DLE,LFGJ,Dole-Jura Airport,47.0427,5.43506
FR,Bourgogne-Franche-Comte,NVS,LFQG,Nevers - Fourchambault Airport,47.0026,3.11333
FR,Bourgogne-Franche-Comte,SYT,LFLN,Saint-Yan Airport (Charolais Bourgogne Sud Airport),46.4125,4.01326
FR,Bretagne,BES,LFRB,Brest Bretagne Airport,48.4479,-4.41854
FR,Bretagne,DNR,LFRD,Dinard-Pleurtuit-Saint-Malo Airport,48.5877,-2.07996
FR,Bretagne,LAI,LFRO,Lannion - Cote de Granit Airport,48.7544,-3.47166
FR,Bretagne,LDV,LFRJ,Landivisiau Air Base,48.5303,-4.15164
FR,Bretagne,LRT,LFRH,Lorient South Brittany Airport (Lann-Bihoue Airport),47.7606,-3.44
FR,Bretagne,MXN,LFRU,Morlaix - Ploujean Airport,48.6032,-3.81578
FR,Bretagne,RNS,LFRN,Rennes-Saint-Jacques Airport,48.0695,-1.73479
FR,Bretagne,SBK,LFRT,Saint-Brieuc - Armor Airport,48.5378,-2.85444
FR,Bretagne,UIP,LFRQ,Quimper-Cornouaille Airport,47.975,-4.16779
FR,Bretagne,VNE,LFRV,Meucon Airport,47.7233,-2.71856
FR,Centre-Val de Loire,BOU,LFLD,Bourges Airport,47.0581,2.37028
FR,Centre-Val de Loire,CHR,LFLX,Chateauroux-Centre Marcel Dassault Airport,46.8603,1.72111
FR,Centre-Val de Loire,ORE,LFOZ,Orleans - Saint-Denis-de-l'Hotel port,47.9878,1.76056
FR,Centre-Val de Loire,TUF,LFOT,Tours Val de Loire Airport,47.4322,0.727606
FR,Corse,AJA,LFKJ,Ajaccio Napoleon Bonaparte Airport,41.9236,8.80292
FR,Corse,BIA,LFKB,Bastia - Poretta Airport,42.5527,9.48373
FR,Corse,CLY,LFKC,Calvi - Sainte-Catherine Airport,42.5244,8.79306
FR,Corse,FSC,LFKF,Figari-Sud Corse Airport,41.5006,9.09778
FR,Corse,PRP,LFKO,Propriano Airport,41.6606,8.88975
FR,Corse,SOZ,LFKS,Solenzara Air Base,41.9244,9.406
FR,Grand-Est,CMR,LFGA,Colmar - Houssen Airport,48.1099,7.35901
FR,Grand-Est,ENC,LFSN,Nancy-Essey Airport,48.6921,6.23046
FR,Grand-Est,EPL,LFSG,Epinal - Mirecourt Airport,48.325,6.06998
FR,Grand-Est,ETZ,LFJL,Metz-Nancy-Lorraine Airport,48.9821,6.25132
FR,Grand-Est,MZM,LFSF,Metz-Frescaty Air Base,49.0717,6.13167
FR,Grand-Est,RHE,LFSR,Reims - Champagne Airport,49.31,4.05
FR,Grand-Est,SXB,LFST,Strasbourg Airport,48.5383,7.62823
FR,Grand-Est,VTL,LFSZ,Vittel - Champ-de-Courses Airport,47.8168,6.38111
FR,Grand-Est,XCZ,LFQV,Charleville-Mézières Aerodrome,49.7827,4.64118
FR,Hauts-de-France,BYF,LFAQ,Albert - Picardie Airport,49.9715,2.69766
FR,Hauts-de-France,CQF,LFAC,Calais-Dunkerque Airport,50.9621,1.95476
FR,Hauts-de-France,CSF,LFPC,Creil Air Base,49.2535,2.51914
FR,Hauts-de-France,HZB,LFQT,Merville-Calonne Airport,50.6184,2.64224
FR,Hauts-de-France,LIL,LFQQ,Lille Airport (Lille-Lesquin Airport),50.5633,3.08689
FR,Hauts-de-France,LTQ,LFAT,Le Touquet - Cote d'Opale Airport,50.5174,1.62059
FR,Ile-de-France,CDG,LFPG,Paris Charles de Gaulle Airport,49.0097,2.54778
FR,Ile-de-France,ORY,LFPO,Aéroport de Paris-Orly,48.7231,2.35944
FR,Ile-de-France,TNF,LFPN,Toussus-le-Noble Airport,48.7519,2.10619
FR,Normandie,CER,LFRC,Cherbourg - Maupertus Airport,49.6501,-1.47028
